metabolite_id	metabolite_name
4crsol_c	P-Cresol (4crsol_c)
aacald_c	Aminoacetaldehyde (aacald_c)
amob_c	S-Adenosyl-4-methylthio-2-oxobutanoate (amob_c)
10fthf_c	10-Formyltetrahydrofolate (10fthf_c)
2fe2s_c	[2Fe-2S] iron-sulfur cluster (2fe2s_c)
2ohph_c	2-Octaprenyl-6-hydroxyphenol (2ohph_c)
4fe4s_c	[4Fe-4S] iron-sulfur cluster (4fe4s_c)
ala__L_c	L-Alanine (ala__L_c)
amet_c	S-Adenosyl-L-methionine (amet_c)
arg__L_c	L-Arginine (arg__L_c)
asn__L_c	L-Asparagine (asn__L_c)
asp__L_c	L-Aspartate (asp__L_c)
atp_c	ATP C10H12N5O13P3 (atp_c)
bmocogdp_c	Bis-molybdopterin guanine dinucleotide (bmocogdp_c)
btn_c	Biotin (btn_c)
ca2_c	Calcium (ca2_c)
cl_c	Chloride (cl_c)
coa_c	Coenzyme A (coa_c)
cobalt2_c	Co2+ (cobalt2_c)
ctp_c	CTP C9H12N3O14P3 (ctp_c)
cu2_c	Copper (cu2_c)
cys__L_c	L-Cysteine (cys__L_c)
datp_c	DATP C10H12N5O12P3 (datp_c)
dctp_c	DCTP C9H12N3O13P3 (dctp_c)
dgtp_c	DGTP C10H12N5O13P3 (dgtp_c)
dttp_c	DTTP C10H13N2O14P3 (dttp_c)
fad_c	Flavin adenine dinucleotide oxidized (fad_c)
fe2_c	Fe2+ mitochondria (fe2_c)
fe3_c	Iron (Fe3+) (fe3_c)
gln__L_c	L-Glutamine (gln__L_c)
glu__L_c	L-Glutamate (glu__L_c)
gly_c	Glycine (gly_c)
gtp_c	GTP C10H12N5O14P3 (gtp_c)
h2o_c	H2O H2O (h2o_c)
his__L_c	L-Histidine (his__L_c)
ile__L_c	L-Isoleucine (ile__L_c)
k_c	Potassium (k_c)
leu__L_c	L-Leucine (leu__L_c)
lys__L_c	L-Lysine (lys__L_c)
met__L_c	L-Methionine (met__L_c)
mg2_c	Magnesium (mg2_c)
mlthf_c	5,10-Methylenetetrahydrofolate (mlthf_c)
mn2_c	Manganese (mn2_c)
mobd_c	Molybdate (mobd_c)
nad_c	Nicotinamide adenine dinucleotide (nad_c)
nadp_c	Nicotinamide adenine dinucleotide phosphate (nadp_c)
nh4_c	Ammonium (nh4_c)
ni2_c	Nickel (ni2_c)
pe160_c	Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) (pe160_c)
pe161_c	Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) (pe161_c)
phe__L_c	L-Phenylalanine (phe__L_c)
pheme_c	Protoheme C34H30FeN4O4 (pheme_c)
pro__L_c	L-Proline (pro__L_c)
pydx5p_c	Pyridoxal 5'-phosphate (pydx5p_c)
ribflv_c	Riboflavin C17H20N4O6 (ribflv_c)
ser__L_c	L-Serine (ser__L_c)
sheme_c	Siroheme C42H36FeN4O16 (sheme_c)
so4_c	Sulfate (so4_c)
thf_c	5,6,7,8-Tetrahydrofolate (thf_c)
thmpp_c	Thiamine diphosphate (thmpp_c)
thr__L_c	L-Threonine (thr__L_c)
trp__L_c	L-Tryptophan (trp__L_c)
tyr__L_c	L-Tyrosine (tyr__L_c)
udcpdp_c	Undecaprenyl diphosphate (udcpdp_c)
utp_c	UTP C9H11N2O15P3 (utp_c)
val__L_c	L-Valine (val__L_c)
zn2_c	Zinc (zn2_c)
kdo2lipid4_e	KDO(2)-lipid IV(A) (kdo2lipid4_e)
murein5px4p_p	Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain) (murein5px4p_p)
pe160_p	Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) (pe160_p)
pe161_p	Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) (pe161_p)
adp_c	ADP C10H12N5O10P2 (adp_c)
h_c	H+ (h_c)
pi_c	Phosphate (pi_c)
ppi_c	Diphosphate (ppi_c)
12ppd__S_e	(S)-Propane-1,2-diol (12ppd__S_e)
15dap_e	1,5-Diaminopentane (15dap_e)
23dappa_e	2,3-diaminopropionate (23dappa_e)
26dap__M_e	Meso-2,6-Diaminoheptanedioate (26dap__M_e)
34dhpac_e	3,4-Dihydroxyphenylacetaldehyde (34dhpac_e)
3amp_e	3  AMP C10H12N5O7P (3amp_e)
3gmp_e	Guanosine 3  phosphate C10H12N5O8P (3gmp_e)
3hcinnm_e	3-hydroxycinnamic acid (3hcinnm_e)
3hpp_e	3-Hydroxypropanoate (3hpp_e)
3ump_e	3  UMP C9H11N2O9P (3ump_e)
5dglcn_e	5-Dehydro-D-gluconate (5dglcn_e)
LalaDglu_e	L-alanine-D-glutamate (LalaDglu_e)
LalaDgluMdap_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate (LalaDgluMdap_e)
acgal_e	N-Acetyl-D-galactosamine (acgal_e)
acgal1p_e	N-Acetyl-D-galactosamine 1-phosphate (acgal1p_e)
acgam_e	N-Acetyl-D-glucosamine (acgam_e)
acmana_e	N-Acetyl-D-mannosamine (acmana_e)
ade_e	Adenine (ade_e)
adn_e	Adenosine (adn_e)
ag_e	Silver (ag_e)
agm_e	Agmatine (agm_e)
ala_B_e	Beta-Alanine (ala_B_e)
alaala_e	D-Alanyl-D-alanine (alaala_e)
all__D_e	D-Allose (all__D_e)
amp_e	AMP C10H12N5O7P (amp_e)
anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid (anhgm_e)
arab__L_e	L-Arabinose (arab__L_e)
arbt_e	Arbutin C12H16O7 (arbt_e)
arbtn_e	Aerobactin minus Fe3 (arbtn_e)
arbtn_fe3_e	Aerobactin (arbtn_fe3_e)
ascb__L_e	L-Ascorbate (ascb__L_e)
asn__L_e	L-Asparagine (asn__L_e)
aso3_e	Arsenite (aso3_e)
asp__L_e	L-Aspartate (asp__L_e)
btn_e	Biotin (btn_e)
ca2_e	Calcium (ca2_e)
chtbs_e	N,N'-diacetylchitobiose (chtbs_e)
cl_e	Chloride (cl_e)
cmp_e	CMP C9H12N3O8P (cmp_e)
co2_e	CO2 CO2 (co2_e)
colipa_e	Core oligosaccharide lipid A (colipa_e)
cpgn_e	Coprogen (cpgn_e)
cpgn_un_e	Coprogen unloaded (no Fe(III)) (cpgn_un_e)
crn__D_e	D-Carnitine (crn__D_e)
cu_e	Cu+ (cu_e)
cu2_e	Copper (cu2_e)
cyan_e	Hydrogen cyanide (cyan_e)
cys__D_e	D-Cysteine (cys__D_e)
cys__L_e	L-Cysteine (cys__L_e)
cytd_e	Cytidine (cytd_e)
dad_2_e	Deoxyadenosine (dad_2_e)
damp_e	DAMP C10H12N5O6P (damp_e)
ddca_e	Dodecanoate (n-C12:0) (ddca_e)
dgsn_e	Deoxyguanosine (dgsn_e)
dha_e	Dihydroxyacetone (dha_e)
din_e	Deoxyinosine (din_e)
dmso_e	Dimethyl sulfoxide (dmso_e)
doxrbcn_e	Doxorubicin (doxrbcn_e)
dump_e	DUMP C9H11N2O8P (dump_e)
enlipa_e	Phosphoethanolamine KDO(2)-lipid (A) (enlipa_e)
enter_e	Enterochelin (enter_e)
ethso3_e	Ethanesulfonate (ethso3_e)
fald_e	Formaldehyde (fald_e)
fe2_e	Fe2+ mitochondria (fe2_e)
fe3_e	Iron (Fe3+) (fe3_e)
fe3dcit_e	Fe(III)dicitrate (fe3dcit_e)
fe3hox_e	Fe(III)hydroxamate (fe3hox_e)
fecrm_e	Ferrichrome (fecrm_e)
fecrm_un_e	Ferrichrome minus Fe(III) (fecrm_un_e)
feenter_e	Fe-enterobactin (feenter_e)
frulys_e	Fructoselysine (frulys_e)
g3pc_e	Sn-Glycero-3-phosphocholine (g3pc_e)
g3ps_e	Glycerophosphoserine (g3ps_e)
g6p_e	D-Glucose 6-phosphate (g6p_e)
gal_e	D-Galactose (gal_e)
gal_bD_e	Beta D-Galactose (gal_bD_e)
gal1p_e	Alpha-D-Galactose 1-phosphate (gal1p_e)
galct__D_e	D-Galactarate (galct__D_e)
galctn__L_e	L-Galactonate (galctn__L_e)
gam_e	D-Glucosamine (gam_e)
gam6p_e	D-Glucosamine 6-phosphate (gam6p_e)
gbbtn_e	Gamma-butyrobetaine (gbbtn_e)
gdp_e	GDP C10H12N5O11P2 (gdp_e)
glcr_e	D-Glucarate (glcr_e)
glyald_e	D-Glyceraldehyde (glyald_e)
glyc__R_e	(R)-Glycerate (glyc__R_e)
glyc3p_e	Glycerol 3-phosphate (glyc3p_e)
gmp_e	GMP C10H12N5O8P (gmp_e)
